question_text,category,subcategory,option_1,option_2,option_3,option_4,correct_option,option_1_score,option_2_score,option_3_score,option_4_score
"You are part of a team tasked with planning a large-scale event. The event’s success depends on several factors including timing, venue, and guest management. How do you handle the planning process?",psychometric,a_score,"I create a detailed project plan with timelines, responsibilities, and contingency plans.",I outline the major components of the event and address issues as they arise.,I handle the planning in stages and focus on immediate tasks rather than the overall plan.,I rely on last-minute planning and adjustments to get things done.,"I create a detailed project plan with timelines, responsibilities, and contingency plans.",4,3,2,1
You are a hero in a fantasy world and must navigate a series of puzzles to unlock a treasure chest. The puzzles vary from logical challenges to pattern recognition. How do you approach solving these puzzles?,psychometric,a_score,"I tackle each puzzle methodically, using logical reasoning and pattern recognition skills to solve them.",I approach the puzzles based on their difficulty and solve the easiest ones first.,"I attempt to solve the puzzles randomly, hoping to find solutions through trial and error.",I focus on one type of puzzle and avoid others that I find challenging.,"I tackle each puzzle methodically, using logical reasoning and pattern recognition skills to solve them.",4,3,2,1
"You are tasked with optimizing a manufacturing process to increase efficiency. You have the option to implement new technology, re-train staff, or modify workflows. What is your approach?",psychometric,a_score,I analyze all options and implement a combination of new technology and workflow modifications for maximum efficiency.,I choose the option that offers the quickest improvement with minimal disruption.,I select one option based on current trends without thorough analysis.,I avoid making significant changes and continue with the current process.,I analyze all options and implement a combination of new technology and workflow modifications for maximum efficiency.,4,3,2,1
You are part of a team working on a new software application. There’s a debate about whether to prioritize user experience or functionality. How do you make your decision?,psychometric,a_score,I evaluate user feedback and prioritize based on what will provide the most value to users.,"I balance both aspects, making compromises to address both user experience and functionality.","I focus primarily on functionality, hoping it will indirectly improve user experience.","I prioritize user experience over functionality, even if it means sacrificing some features.",I evaluate user feedback and prioritize based on what will provide the most value to users.,4,3,2,1
You are working on a team project and need to coordinate with multiple departments. How do you ensure effective communication and collaboration?,psychometric,a_score,I establish regular meetings and clear communication channels to keep everyone informed and aligned,"I use collaborative tools and maintain open communication, but may not have structured meetings.",I communicate as needed but rely on individual departments to manage their own work.,"I address communication issues only when they arise, without proactive planning.",I establish regular meetings and clear communication channels to keep everyone informed and aligned.,4,3,2,1
You are on a mission to complete a series of tasks in a game where each task contributes to the overall success. Some tasks are straightforward while others require strategic planning. How do you approach the mission?,psychometric,a_score,I prioritize strategic planning for complex tasks while efficiently completing straightforward ones.,"I tackle tasks as they come, focusing on strategic planning when required.",I complete straightforward tasks quickly and deal with complex ones as needed.,I avoid complex tasks and focus only on tasks that I find easy.,I prioritize strategic planning for complex tasks while efficiently completing straightforward ones.,4,3,2,1
"In the middle of a critical project, you encounter an unexpected issue that jeopardizes your deadline. How do you handle the situation?",psychometric,n_score,"I stay calm, analyze the problem, and come up with a well-thought-out solution.",I feel stressed but manage to find a solution after some struggle.,"I become anxious and worry about the potential consequences, making it hard to focus on a solution",I panic and have difficulty handling the problem effectively.,"I stay calm, analyze the problem, and come up with a well-thought-out solution.",4,3,2,1
"During a team project, a disagreement arises between team members. How do you react to resolve the conflict?",psychometric,n_score,I take a proactive role in mediating and finding a compromise that works for everyone.,I try to stay neutral and support a solution that seems fair.,"I feel uncomfortable and avoid getting involved, hoping the issue will resolve itself.",I become upset and find it challenging to deal with the conflict.,I take a proactive role in mediating and finding a compromise that works for everyone.,4,3,2,1
You are starting a new hobby that is outside your comfort zone. How do you approach learning this new activity?,psychometric,n_score,"I enthusiastically dive into the activity, embracing the challenge and learning from mistakes.","I approach it with cautious optimism, trying to learn gradually.","I feel apprehensive and hesitant, needing encouragement to continue.",I feel overwhelmed and tend to avoid the activity due to anxiety.,"I enthusiastically dive into the activity, embracing the challenge and learning from mistakes.",4,3,2,1
"In the middle of an important presentation, your computer crashes. How do you respond?",psychometric,n_score,"I remain composed, quickly adapt by using backup materials, and continue confidently.",I feel stressed but manage to recover and continue the presentation.,I feel flustered and struggle to regain my composure during the presentation.,I become very anxious and find it difficult to handle the situation effectively,"I remain composed, quickly adapt by using backup materials, and continue confidently.",4,3,2,1
"During a team project, a disagreement arises between team members. How do you react to resolve the conflict?",psychometric,n_score,I take a proactive role in mediating and finding a compromise that works for everyone.,I try to stay neutral and support a solution that seems fair.,"I feel uncomfortable and avoid getting involved, hoping the issue will resolve itself.",I become upset and find it challenging to deal with the conflict.,I take a proactive role in mediating and finding a compromise that works for everyone.,4,3,2,1
You’re on a quest to improve your public speaking skills. How do you approach this challenge?,psychometric,n_score,"I practice regularly, seek feedback, and work hard to enhance my skills.",I practice occasionally and make an effort to improve with feedback.,I practice only when necessary and feel anxious about public speaking.,I avoid public speaking whenever possible and feel overwhelmed by the thought.,"I practice regularly, seek feedback, and work hard to enhance my skills.",4,3,2,1
You are starting a new hobby that is outside your comfort zone. How do you approach learning this new activity?,psychometric,n_score,"I enthusiastically dive into the activity, embracing the challenge and learning from mistakes.","I approach it with cautious optimism, trying to learn gradually.","I feel apprehensive and hesitant, needing encouragement to continue.",I feel overwhelmed and tend to avoid the activity due to anxiety.,"I enthusiastically dive into the activity, embracing the challenge and learning from mistakes.",4,3,2,1
"In the middle of an important presentation, your computer crashes. How do you respond?",psychometric,n_score,"I remain composed, quickly adapt by using backup materials, and continue confidently.",I feel stressed but manage to recover and continue the presentation.,I feel flustered and struggle to regain my composure during the presentation.,I become very anxious and find it difficult to handle the situation effectively.,"I remain composed, quickly adapt by using backup materials, and continue confidently.",4,3,2,1
You’ve been assigned a series of tasks with tight deadlines. How do you manage your stress and workload?,psychometric,n_score,"I create a structured plan, prioritize tasks, and take breaks to manage stress effectively.","I manage tasks and stress reasonably well, but feel some pressure.",I struggle to keep up with deadlines and find it hard to manage stress.,I become overwhelmed and have difficulty managing both tasks and stress.,"I create a structured plan, prioritize tasks, and take breaks to manage stress effectively.",4,3,2,1
You’re leading a team on a challenging project with high stakes. How do you handle the pressure of leadership?,psychometric,n_score,"I stay focused on the goal, support my team, and manage pressure effectively.","I handle pressure reasonably well, though I occasionally feel stressed.",I find it challenging to manage the pressure and stress affects my leadership.,"I struggle significantly with the pressure, which impacts my effectiveness as a leader.","I stay focused on the goal, support my team, and manage pressure effectively.",4,3,2,1
"A product originally costs $120. After a 15% price increase, what is the new price of the product?",Aptitude,numerical,$138,$135,$140,$130,$138,5,0,0,0
"If you invest $1000 at an annual interest rate of 5% for 3 years, what will be the total amount earned in interest?",Aptitude,numerical,$150,$175,$125,$100,$150,5,0,0,0
"In a class, the ratio of boys to girls is 3:4. If there are 28 students in total, how many boys are there?",Aptitude,numerical,12 boys,14 boys,16boys,10boys,12boys,5,0,0,0
A car travels 240 kilometers in 3 hours. What is its average speed in kilometers per hour?,Aptitude,numerical,80km/h,70km/h,90km/h,75km/h,80km/h,5,0,0,0
"If 5 workers can complete a task in 10 days, how many days will it take for 10 workers to complete the same task, assuming they work at the same rate?",Aptitude,numerical,5 days,8days,4 days,12days,5 days,5,0,0,0
"The average score of 6 students is 85. If one student's score is 90, what is the average score of the remaining 5 students?",Aptitude,numerical,83,86,84,88,83,5,0,0,0
"A jacket is originally priced at $80. During a sale, it is offered at a 25% discount. What is the sale price of the jacket?",Aptitude,numerical,$60,$65,$55,$55,$60,5,0,0,0
"If an item is bought for $120 and sold for $150, what is the profit percentage?",Aptitude,numerical,25%,205,30%,15%,25%,5,0,0,0
Solve for x: 2x+3=112x + 3 = 112x+3=11.,Aptitude,numerical,4,5,6,3,4,5,0,0,0
The area of a rectangle is 60 square meters and its length is 12 meters. What is the width of the rectangle?,Aptitude,numerical,5 meters,6 meters,4 meters,7meters,5 meters,5,0,0,0
"Which word is most similar in meaning to ""abundant""?",Reasoning,verbal,Scarce,Plentiful,Limited,Rare,Plentiful,0,5,0,0
"Which word is the opposite of ""benevolent""?",Reasoning,verbal,kind,Malicious,Generous,charitable,Kind,0,5,0,0
"If all roses are flowers and some flowers fade quickly, which of the following must be true?",Reasoning,verbal,Some roses fade quickly,All flowers fade quickly,No roses fade quickly,Some flowers do not fade quickly,Some roses fade quickly,5,0,0,0
"Which pair of words has the same relationship as ""day : night""?",Reasoning,verbal,Light : dark,Summer : winter,Sun : moon,Hot : cold,Light : dark,5,0,0,0
"Complete the sentence: ""Despite his harsh words, his actions were incredibly _______.""",Reasoning,verbal,Cruel,Benevolent,Hostile,Inconsiderate,Cruel,5,0,0,0
"If the statement ""All students are punctual"" is true, which of the following is also true?",Reasoning,verbal,Some students are not punctual,No students are late,All students are late,Some students are always late,Some students are not punctual,5,0,0,0
"Which word completes the analogy? ""Doctor is to patient as teacher is to _______.""",Reasoning,verbal,School,Student,Book,Class,Student,0,5,0,0
"Arrange the following words to form a meaningful sequence: ""Infant, Adult, Toddler, Teenager""",Reasoning,verbal,"Infant, Toddler, Teenager, Adult","Toddler, Infant, Adult, Teenager","Teenager, Infant, Toddler, Adult","Adult, Teenager, Toddler, Infant","Infant, Toddler, Teenager, Adult",5,0,0,0
"If the government increases taxes on goods, what is the most likely consequence?",Reasoning,verbal,Prices of goods will decrease,Demand for goods will increase,Prices of goods will increase,No impact on prices,. Prices of goods will decrease,5,0,0,0
"""John is known for his punctuality. He believes that time is of utmost importance and never misses a deadline. He is often praised for his time management skills.""Based on the passage, which of the following is true about John?
",Reasoning,verbal,He often misses deadlines,He values punctuality,He is criticized for his time management,He does not value time,He often misses deadlines,5,0,0,0
"Which shape comes next in the sequence?Shapes: Triangle, Square, Pentagon, Hexagon, ?
",Reasoning,Logical,Heptagon,Octagon,Nonagon,Decagon,Heptagon,5,0,0,0
"Complete the series: Series: Circle, Two circles overlapping, Three circles overlapping, Four circles overlapping, ?",Reasoning,Logical,Five circles overlapping,Four circles separate,Six circles overlapping,Three circles separate,Five circles overlapping,5,0,0,0
Find the relationship: Example: Square is to Cube as Circle is to?,Reasoning,Logical,Sphere,Cylinder,Cone,Oval,Sphere,5,0,0,0
Which shape matches the rotated version of this shape? Original Shape: A right triangle pointing up.,Reasoning,Logical,A right triangle pointing right,A right triangle pointing left,A right triangle pointing down,A square,A right triangle pointing right,0,0,5,0
"Which of the following is the mirror image of the given shape? Original Shape: The letter ""E""
",Reasoning,Logical,3 (number),". A rotated ""E""","The letter ""3""","Mirror image of ""E""","Mirror image of ""E""",0,0,0,5
Which option completes the missing part of this shape? Shape: Half of a circle missing the right side.,Reasoning,Logical,Right half of a circle,Bottom half of a square,Left half of a triangle,Top half of a rectangle,Right half of a circle,5,0,0,0
Identify the odd shape out in this group:,Reasoning,Logical,Triangle,Square,Circle,Pentagon,Circle,0,0,5,0
"Which of these shapes belong in the same group? Group 1: Sphere, Cube Group 2: ?
",Reasoning,Logical,"Circle, Square","Triangle, Pentagon","Cone, Cylinder","Hexagon, Circle","Cone, Cylinder",0,0,5,0
"What comes next in this sequence? Sequence: A small circle, a medium circle, a large circle, a large circle with a smaller one inside it, ?",Reasoning,Logical,Two concentric circles,A small circle inside a large one,A small square inside a large circle,Two large circles overlapping,A small circle inside a large one,0,5,0,0
"Which of the following completes the pattern? Pattern: A square with one diagonal line, a square with two diagonal lines, a square with three diagonal lines, ?",Reasoning,Logical,A square with four diagonal lines,A square with no diagonal lines,A square with one horizontal line,A square with one diagonal line and one horizontal line,A square with one diagonal line and one horizontal line,0,0,0,5
